マーケティング指標 1,マーケティング指標 2,マーケティング指標 3,マーケティング指標 4,マーケティング指標 5,マーケティング指標 6,マーケティング指標 7,マーケティング指標 8,マーケティング指標 9,マーケティング指標 10,マーケティング指標 11,マーケティング指標 12,マーケティング指標 13,マーケティング指標 14,マーケティング指標 15,マーケティング指標 16,マーケティング指標 17,マーケティング指標 18,マーケティング指標 19,マーケティング指標 20,マーケティング指標 21,マーケティング指標 22,マーケティング指標 23,マーケティング指標 24,マーケティング指標 25,マーケティング指標 26,マーケティング指標 27,マーケティング指標 28,マーケティング指標 29
山崎 加奈,62,118,626,126,150,275,607,33,442,431,702,787,815,969,859,355,894,824,178,656,514,186,921,261,701,991,456,905
前田 あすか,152,742,474,7,676,873,454,644,308,488,849,912,852,243,993,52,914,820,849,397,514,679,83,626,397,4,591,380
山口 修平,934,530,928,613,514,285,282,692,190,146,595,576,735,116,40,272,502,730,117,65,680,772,605,754,992,46,748,993
高橋 淳,627,73,457,677,184,791,503,278,76,6,907,833,86,51,63,393,25,606,576,121,177,543,467,654,726,991,468,24
太田 健一,355,602,439,116,238,570,27,560,424,3,87,401,148,895,56,422,224,84,507,382,667,461,478,833,318,942,831,975
佐々木 加奈,768,977,290,853,338,325,809,318,763,259,968,286,682,586,390,212,156,870,313,643,677,897,278,268,21,754,555,405
池田 くみ子,75,588,921,17,278,148,811,485,37,313,255,824,580,486,993,143,969,3,493,593,498,387,255,502,365,781,190,902
佐々木 治,495,190,674,730,993,689,314,540,420,995,305,26,99,730,827,811,171,445,22,81,218,823,811,972,334,409,450,246
藤井 花子,831,43,48,3,583,759,875,976,126,369,66,514,706,375,235,708,447,849,227,275,340,5,111,454,213,121,242,868
池田 里佳,151,770,855,36,713,359,129,160,170,252,906,937,518,365,210,548,520,758,594,619,148,31,452,419,861,361,854,877
渡辺 健一,818,207,185,366,14,404,980,655,469,189,238,196,793,996,297,278,736,392,216,56,761,626,827,853,840,95,869,943
中島 裕美子,122,217,542,431,589,537,995,4,79,21,739,149,273,706,751,515,879,690,474,988,926,679,738,340,1,959,7,652
伊藤 春香,809,882,505,239,685,43,55,740,362,649,538,637,46,257,718,790,842,439,36,325,251,5,682,674,363,495,805,237
中島 香織,147,733,874,850,167,138,683,821,515,975,59,903,452,109,938,611,374,606,950,550,600,557,107,139,206,213,924,168
